Dog_Id,Like1,Like2,Like3,Like4
PD197,PD1127,PD296,PD040,PD831
PD1783,PD317,PD1598,PD675,PD752
PD1256,PD1317,PD1061,PD1746,PD054
PD1497,PD875,PD838,PD1566,PD398
PD350,PD1494,PD242,PD525,PD1183
PD725,PD163,PD1692,PD1091,PD1107
PD003,PD1771,PD894,PD898,PD533
PD014,PD822,PD1105,PD1360,PD257
PD078,PD1683,PD417,PD558,PD576
PD125,PD993,PD614,PD1688,PD027
PD012,PD317,PD859,PD918,PD1542
PD363,PD892,PD1364,PD431,PD908
PD387,PD1136,PD1015,PD200,PD954
PD128,PD1624,PD567,PD1575,PD710
PD1028,PD1697,PD1185,PD1654,PD1329
PD1386,PD307,PD066,PD1338,PD573
PD088,PD147,PD022,PD1342,PD1357
PD369,PD1700,PD229,PD1471,PD1480
PD024,PD483,PD679,PD1586,PD658
PD178,PD143,PD1634,PD1134,PD1196
PD429,PD762,PD724,PD1005,PD910
PD236,PD1412,PD399,PD1370,PD564
PD089,PD795,PD419,PD495,PD515
PD836,PD1533,PD262,PD1021,PD337
